Crop,Disease,Symptoms,Recommended Pesticide,Dosage & Application,Weather Conditions,Recommended_Fertilizer
Sugarcane,Rust,Yellowing of leaves with brown spots,Dithane M-45,Mix 2g per liter of water and spray on affected leaves,Warm and dry climate,General NPK 20-20-20
Barley,Stem Rot,Irregularly shaped brown blotches,Dithane M-45,Mix with organic compost and apply near roots,Foggy conditions,Urea
Soybean,Root Rot,Small brown or black circular spots,Carbendazim,Apply when humidity is above 60%,Hot summer season,Urea
Wheat,Leaf Spot,Stem lesions with hollow decay,Dithane M-45,Use every 10 days for effective results,Foggy conditions,General NPK 20-20-20
Rice,Blight,Drooping leaves with yellow patches,Chlorothalonil,Sprinkle powder directly on infected areas,Heavy rainfall,Superphosphate
Cotton,Blight,Drooping leaves with yellow patches,Neem Oil,Dilute with 3 liters of water for every hectare,High humidity,Superphosphate
Groundnut,Powdery Mildew,Yellowing of leaves with brown spots,Chlorothalonil,Sprinkle powder directly on infected areas,Warm and dry climate,Superphosphate
Cotton,Leaf Spot,Stem lesions with hollow decay,Dithane M-45,Spray in low sunlight conditions for best absorption,Foggy conditions,General NPK 20-20-20
Cotton,Rust,Wilting and stunted growth,Propiconazole,Apply when humidity is above 60%,High humidity,General NPK 20-20-20
Maize,Leaf Spot,Wilting and stunted growth,Sulfur Dust,Use 5ml per liter in early morning,Heavy rainfall,General NPK 20-20-20
Barley,Blight,Yellowing of leaves with brown spots,Copper Oxychloride,Apply when humidity is above 60%,Warm and dry climate,Superphosphate
Maize,Root Rot,Mold growth on affected areas,Propiconazole,Mix 2g per liter of water and spray on affected leaves,Warm and dry climate,Urea
Barley,Stem Rot,White powdery coating on leaves,Propiconazole,Use 5ml per liter in early morning,Low rainfall,Urea
Wheat,Mosaic Virus,Yellowing of leaves with brown spots,Neem Oil,Sprinkle powder directly on infected areas,Heavy rainfall,10-10-10 NPK
Tomato,Mosaic Virus,Stem lesions with hollow decay,Chlorothalonil,Apply 1.5ml per liter of water weekly,Drought conditions,10-10-10 NPK
Wheat,Leaf Spot,White powdery coating on leaves,Neem Oil,Spray in low sunlight conditions for best absorption,Cold temperature,General NPK 20-20-20
Wheat,Blight,White powdery coating on leaves,Copper Oxychloride,Spray in low sunlight conditions for best absorption,Low rainfall,Superphosphate
Tomato,Leaf Spot,Stem lesions with hollow decay,Sulfur Dust,Sprinkle powder directly on infected areas,Drought conditions,General NPK 20-20-20
Wheat,Root Rot,White powdery coating on leaves,Chlorothalonil,Dilute with 3 liters of water for every hectare,Cold temperature,Urea
Rice,Mosaic Virus,Irregularly shaped brown blotches,Neem Oil,Mix with organic compost and apply near roots,Foggy conditions,10-10-10 NPK
Wheat,Leaf Spot,Yellowing of leaves with brown spots,Dithane M-45,Spray in low sunlight conditions for best absorption,Hot summer season,General NPK 20-20-20
Tomato,Stem Rot,Yellowing of leaves with brown spots,Dithane M-45,Use 5ml per liter in early morning,High humidity,Urea
Rice,Powdery Mildew,Black lesions on stem and roots,Neem Oil,Apply 1.5ml per liter of water weekly,Heavy rainfall,Superphosphate
Rice,Stem Rot,Black lesions on stem and roots,Neem Oil,Apply 1.5ml per liter of water weekly,Cold temperature,Urea
Groundnut,Leaf Spot,Black lesions on stem and roots,Neem Oil,Mix with organic compost and apply near roots,Hot summer season,General NPK 20-20-20
Maize,Rust,Small brown or black circular spots,Mancozeb,Use 5ml per liter in early morning,Heavy rainfall,General NPK 20-20-20
Barley,Rust,Irregularly shaped brown blotches,Trichoderma,Sprinkle powder directly on infected areas,Low rainfall,General NPK 20-20-20
Groundnut,Stem Rot,Curling and mosaic pattern on leaves,Chlorothalonil,Mix 2g per liter of water and spray on affected leaves,Cold temperature,Urea
Maize,Bacterial Wilt,Stem lesions with hollow decay,Dithane M-45,Mix with organic compost and apply near roots,Heavy rainfall,Urea
Tomato,Bacterial Wilt,Drooping leaves with yellow patches,Carbendazim,Sprinkle powder directly on infected areas,Cold temperature,Urea
Tomato,Powdery Mildew,Small brown or black circular spots,Neem Oil,Apply 1.5ml per liter of water weekly,Drought conditions,Superphosphate
Tomato,Powdery Mildew,White powdery coating on leaves,Chlorothalonil,Apply 1.5ml per liter of water weekly,Warm and dry climate,Superphosphate
Potato,Mosaic Virus,White powdery coating on leaves,Copper Oxychloride,Dilute with 3 liters of water for every hectare,Low rainfall,10-10-10 NPK
Rice,Powdery Mildew,Yellowing of leaves with brown spots,Carbendazim,Use 5ml per liter in early morning,Heavy rainfall,Superphosphate
Rice,Mosaic Virus,White powdery coating on leaves,Chlorothalonil,Dilute with 3 liters of water for every hectare,Foggy conditions,10-10-10 NPK
Barley,Bacterial Wilt,Wilting and stunted growth,Copper Oxychloride,Use every 10 days for effective results,Heavy rainfall,Urea
Tomato,Mosaic Virus,Black lesions on stem and roots,Propiconazole,Use every 10 days for effective results,Hot summer season,10-10-10 NPK
Cotton,Stem Rot,Wilting and stunted growth,Chlorothalonil,Mix 2g per liter of water and spray on affected leaves,Warm and dry climate,Urea
Soybean,Stem Rot,Drooping leaves with yellow patches,Dithane M-45,Apply 1.5ml per liter of water weekly,Cold temperature,Urea
Potato,Blight,Curling and mosaic pattern on leaves,Trichoderma,Dilute with 3 liters of water for every hectare,Heavy rainfall,Superphosphate
Groundnut,Powdery Mildew,Stem lesions with hollow decay,Carbendazim,Sprinkle powder directly on infected areas,Heavy rainfall,Superphosphate
Rice,Powdery Mildew,Yellowing of leaves with brown spots,Trichoderma,Use 5ml per liter in early morning,High humidity,Superphosphate
Cotton,Root Rot,Small brown or black circular spots,Propiconazole,Dilute with 3 liters of water for every hectare,Foggy conditions,Urea
Barley,Bacterial Wilt,White powdery coating on leaves,Copper Oxychloride,Apply 1.5ml per liter of water weekly,High humidity,Urea
Cotton,Powdery Mildew,Wilting and stunted growth,Mancozeb,Spray in low sunlight conditions for best absorption,Hot summer season,Superphosphate
Groundnut,Rust,White powdery coating on leaves,Mancozeb,Mix with organic compost and apply near roots,Hot summer season,General NPK 20-20-20
Tomato,Blight,White powdery coating on leaves,Neem Oil,Dilute with 3 liters of water for every hectare,Cold temperature,Superphosphate
Rice,Stem Rot,Irregularly shaped brown blotches,Trichoderma,Apply when humidity is above 60%,Foggy conditions,Urea
Potato,Root Rot,Wilting and stunted growth,Dithane M-45,Mix 2g per liter of water and spray on affected leaves,Foggy conditions,Urea
Groundnut,Leaf Spot,Wilting and stunted growth,Chlorothalonil,Spray in low sunlight conditions for best absorption,Cold temperature,General NPK 20-20-20
Wheat,Bacterial Wilt,White powdery coating on leaves,Mancozeb,Spray in low sunlight conditions for best absorption,Warm and dry climate,Urea
Soybean,Powdery Mildew,Stem lesions with hollow decay,Carbendazim,Dilute with 3 liters of water for every hectare,High humidity,Superphosphate
Potato,Mosaic Virus,Curling and mosaic pattern on leaves,Copper Oxychloride,Apply 1.5ml per liter of water weekly,Cold temperature,10-10-10 NPK
Soybean,Rust,Wilting and stunted growth,Copper Oxychloride,Use 5ml per liter in early morning,Warm and dry climate,General NPK 20-20-20
Maize,Rust,Stem lesions with hollow decay,Mancozeb,Sprinkle powder directly on infected areas,Hot summer season,General NPK 20-20-20
Rice,Bacterial Wilt,Yellowing of leaves with brown spots,Neem Oil,Apply when humidity is above 60%,High humidity,Urea
Tomato,Mosaic Virus,White powdery coating on leaves,Trichoderma,Apply 1.5ml per liter of water weekly,Heavy rainfall,10-10-10 NPK
Tomato,Bacterial Wilt,Yellowing of leaves with brown spots,Propiconazole,Spray in low sunlight conditions for best absorption,Foggy conditions,Urea
Soybean,Bacterial Wilt,Irregularly shaped brown blotches,Dithane M-45,Sprinkle powder directly on infected areas,Hot summer season,Urea
Cotton,Leaf Spot,Small brown or black circular spots,Propiconazole,Spray in low sunlight conditions for best absorption,Warm and dry climate,General NPK 20-20-20
Tomato,Rust,White powdery coating on leaves,Dithane M-45,Mix 2g per liter of water and spray on affected leaves,Low rainfall,General NPK 20-20-20
Potato,Powdery Mildew,Black lesions on stem and roots,Neem Oil,Dilute with 3 liters of water for every hectare,Cold temperature,Superphosphate
Soybean,Mosaic Virus,Curling and mosaic pattern on leaves,Propiconazole,Use 5ml per liter in early morning,Cold temperature,10-10-10 NPK
Sugarcane,Stem Rot,Irregularly shaped brown blotches,Dithane M-45,Sprinkle powder directly on infected areas,Cold temperature,Urea
Groundnut,Bacterial Wilt,Stem lesions with hollow decay,Propiconazole,Spray in low sunlight conditions for best absorption,Low rainfall,Urea
Potato,Blight,Mold growth on affected areas,Trichoderma,Use every 10 days for effective results,Warm and dry climate,Superphosphate
Sugarcane,Blight,Black lesions on stem and roots,Mancozeb,Mix 2g per liter of water and spray on affected leaves,Cold temperature,Superphosphate
Sugarcane,Leaf Spot,Drooping leaves with yellow patches,Chlorothalonil,Sprinkle powder directly on infected areas,Hot summer season,General NPK 20-20-20
Soybean,Blight,Wilting and stunted growth,Sulfur Dust,Mix 2g per liter of water and spray on affected leaves,Heavy rainfall,Superphosphate
Wheat,Powdery Mildew,Yellowing of leaves with brown spots,Dithane M-45,Use 5ml per liter in early morning,Heavy rainfall,Superphosphate
Wheat,Rust,Wilting and stunted growth,Propiconazole,Mix 2g per liter of water and spray on affected leaves,Low rainfall,General NPK 20-20-20
Rice,Bacterial Wilt,Curling and mosaic pattern on leaves,Neem Oil,Dilute with 3 liters of water for every hectare,Cold temperature,Urea
Potato,Mosaic Virus,Curling and mosaic pattern on leaves,Chlorothalonil,Spray in low sunlight conditions for best absorption,High humidity,10-10-10 NPK
Maize,Rust,Mold growth on affected areas,Dithane M-45,Dilute with 3 liters of water for every hectare,Heavy rainfall,General NPK 20-20-20
Cotton,Bacterial Wilt,Stem lesions with hollow decay,Copper Oxychloride,Dilute with 3 liters of water for every hectare,High humidity,Urea
Maize,Leaf Spot,White powdery coating on leaves,Copper Oxychloride,Mix with organic compost and apply near roots,Cold temperature,General NPK 20-20-20
Wheat,Stem Rot,Stem lesions with hollow decay,Chlorothalonil,Spray in low sunlight conditions for best absorption,Foggy conditions,Urea
Groundnut,Root Rot,Black lesions on stem and roots,Mancozeb,Mix with organic compost and apply near roots,Heavy rainfall,Urea
Tomato,Mosaic Virus,Curling and mosaic pattern on leaves,Trichoderma,Apply when humidity is above 60%,Heavy rainfall,10-10-10 NPK
Wheat,Leaf Spot,Black lesions on stem and roots,Neem Oil,Mix with organic compost and apply near roots,Heavy rainfall,General NPK 20-20-20
Sugarcane,Root Rot,Irregularly shaped brown blotches,Copper Oxychloride,Mix 2g per liter of water and spray on affected leaves,Low rainfall,Urea
Maize,Stem Rot,Curling and mosaic pattern on leaves,Mancozeb,Use 5ml per liter in early morning,Hot summer season,Urea
Cotton,Powdery Mildew,Curling and mosaic pattern on leaves,Copper Oxychloride,Spray in low sunlight conditions for best absorption,Drought conditions,Superphosphate
Potato,Mosaic Virus,Drooping leaves with yellow patches,Copper Oxychloride,Mix 2g per liter of water and spray on affected leaves,Heavy rainfall,10-10-10 NPK
Maize,Mosaic Virus,Drooping leaves with yellow patches,Mancozeb,Spray in low sunlight conditions for best absorption,Drought conditions,10-10-10 NPK
Tomato,Root Rot,Small brown or black circular spots,Trichoderma,Use 5ml per liter in early morning,High humidity,Urea
Barley,Mosaic Virus,Wilting and stunted growth,Mancozeb,Mix with organic compost and apply near roots,High humidity,10-10-10 NPK
Sugarcane,Powdery Mildew,Irregularly shaped brown blotches,Dithane M-45,Spray in low sunlight conditions for best absorption,Warm and dry climate,Superphosphate
Cotton,Powdery Mildew,Irregularly shaped brown blotches,Dithane M-45,Apply when humidity is above 60%,Hot summer season,Superphosphate
Rice,Bacterial Wilt,Yellowing of leaves with brown spots,Chlorothalonil,Apply when humidity is above 60%,Hot summer season,Urea
Tomato,Root Rot,Wilting and stunted growth,Sulfur Dust,Dilute with 3 liters of water for every hectare,Warm and dry climate,Urea
Potato,Root Rot,Drooping leaves with yellow patches,Dithane M-45,Use every 10 days for effective results,Drought conditions,Urea
Tomato,Rust,Wilting and stunted growth,Propiconazole,Use every 10 days for effective results,Cold temperature,General NPK 20-20-20
Sugarcane,Mosaic Virus,Small brown or black circular spots,Chlorothalonil,Mix with organic compost and apply near roots,Low rainfall,10-10-10 NPK
Rice,Stem Rot,White powdery coating on leaves,Carbendazim,Use every 10 days for effective results,Warm and dry climate,Urea
Potato,Rust,Irregularly shaped brown blotches,Copper Oxychloride,Spray in low sunlight conditions for best absorption,Low rainfall,General NPK 20-20-20
Groundnut,Powdery Mildew,White powdery coating on leaves,Dithane M-45,Mix 2g per liter of water and spray on affected leaves,Foggy conditions,Superphosphate
Cotton,Stem Rot,Irregularly shaped brown blotches,Chlorothalonil,Use every 10 days for effective results,Heavy rainfall,Urea
Potato,Rust,Wilting and stunted growth,Chlorothalonil,Sprinkle powder directly on infected areas,Cold temperature,General NPK 20-20-20
Rice,Powdery Mildew,White powdery coating on leaves,Carbendazim,Use every 10 days for effective results,Low rainfall,Superphosphate
Rice,Stem Rot,Curling and mosaic pattern on leaves,Sulfur Dust,Spray in low sunlight conditions for best absorption,Heavy rainfall,Urea
Soybean,Stem Rot,Wilting and stunted growth,Copper Oxychloride,Spray in low sunlight conditions for best absorption,Low rainfall,Urea
Maize,Blight,Stem lesions with hollow decay,Propiconazole,Spray in low sunlight conditions for best absorption,Drought conditions,Superphosphate
Wheat,Rust,Curling and mosaic pattern on leaves,Mancozeb,Dilute with 3 liters of water for every hectare,Low rainfall,General NPK 20-20-20
Rice,Mosaic Virus,Curling and mosaic pattern on leaves,Neem Oil,Apply 1.5ml per liter of water weekly,Hot summer season,10-10-10 NPK
Barley,Powdery Mildew,Irregularly shaped brown blotches,Dithane M-45,Dilute with 3 liters of water for every hectare,Hot summer season,Superphosphate
Barley,Powdery Mildew,Stem lesions with hollow decay,Propiconazole,Spray in low sunlight conditions for best absorption,High humidity,Superphosphate
Wheat,Bacterial Wilt,Yellowing of leaves with brown spots,Sulfur Dust,Mix with organic compost and apply near roots,Cold temperature,Urea
Potato,Stem Rot,Yellowing of leaves with brown spots,Chlorothalonil,Use every 10 days for effective results,Heavy rainfall,Urea
Rice,Powdery Mildew,Stem lesions with hollow decay,Carbendazim,Apply 1.5ml per liter of water weekly,Drought conditions,Superphosphate
Tomato,Leaf Spot,Black lesions on stem and roots,Propiconazole,Dilute with 3 liters of water for every hectare,Drought conditions,General NPK 20-20-20
